words,wordId
b'17541831',1117
b'1755',1118
b'175598',1119
b'1756',1120
b'17561817',1121
b'17561854',1122
b'175694',1123
b'1757',1124
b'17571824',1125
b'17571826',1126
b'1758',1127
b'17581769',1128
b'17581818',1129
b'175869',1130
b'1759',1131
b'17591788',1132
b'176',1133
b'1760',1134
b'17601770',1135
b'1761',1136
b'1762',1137
b'1763',1138
b'17631826',1139
b'1764',1140
b'1765',1141
b'176590',1142
b'1766',1143
b'17661844',1144
b'176671',1145
b'1767',1146
b'1768',1147
b'17681834',1148
b'1769',1149
b'17691774',1150
b'176974',1151
b'177',1152
b'1770',1153
b'17701809',1154
b'1771',1155
b'177181',1156
b'1772',1157
b'1773',1158
b'1774',1159
b'177480',1160
b'177484',1161
b'1775',1162
b'17750000',1163
b'177599',1164
b'1776',1165
b'1777',1166
b'17771855',1167
b'1778',1168
b'1779',1169
b'17791869',1170
b'177980',1171
b'177O',1172
b'178',1173
b'1780',1174
b'1781',1175
b'17811834',1176
b'17815',1177
b'178180',1178
b'1782',1179
b'1783',1180
b'17831830',1181
b'1784',1182
b'17841785',1183
b'1785',1184
b'1786',1185
b'1787',1186
b'178789',1187
b'1788',1188
b'1789',1189
b'178O',1190
b'179',1191
b'1790',1192
b'17901843',1193
b'1791',1194
b'17911874',1195
b'1792',1196
b'1793',1197
b'1794',1198
b'1795',1199
b'1796',1200
b'17961807',1201
b'1797',1202
b'17971821',1203
b'1798',1204
b'1799',1205
b'17O7',1206
b'17s',1207
b'17th',1208
b'18',1209
b'180',1210
b'1800',1211
b'18000',1212
b'180000000',1213
b'1801',1214
b'180194',1215
b'1802',1216
b'180266',1217
b'1803',1218
b'1804',1219
b'1805',1220
b'1806',1221
b'1807',1222
b'1808',1223
b'1809',1224
b'180th',1225
b'181',1226
b'1810',1227
b'1811',1228
b'181184',1229
b'1812',1230
b'1813',1231
b'18131894',1232
b'1814',1233
b'181415',1234
b'1815',1235
b'1816',1236
b'1817',1237
b'1818',1238
b'18181825',1239
b'1819',1240
b'182',1241
b'1820',1242
b'1821',1243
b'1822',1244
b'1823',1245
b'1824',1246
b'1825',1247
b'18251834',1248
b'1826',1249
b'1827',1250
b'1828',1251
b'18281835',1252
b'1829',1253
b'182O',1254
b'183',1255
b'1830',1256
b'1831',1257
b'183187',1258
b'1832',1259
b'1833',1260
b'1834',1261
b'183438',1262
b'1835',1263
b'18356',1264
b'1835not',1265
b'1836',1266
b'1836was',1267
b'1837',1268
b'1838',1269
b'18381848',1270
b'1839',1271
b'18391844',1272
b'183946',1273
b'184',1274
b'1840',1275
b'1841',1276
b'18411856',1277
b'184198',1278
b'1842',1279
b'18421843',1280
b'1843',1281
b'18434',1282
b'184344',1283
b'184346',1284
b'1844',1285
b'1844was',1286
b'1845',1287
b'184546',1288
b'184547',1289
b'18457',1290
b'1846',1291
b'18461849',1292
b'18461856',1293
b'18468',1294
b'1847',1295
b'184748',1296
b'1848',1297
b'18481854',1298
b'1849',1299
b'184952',1300
