wordId,docId_list
100490,"16,1,19,26,23,18,8,35,42,15,0,21,12,3"
100491,9
100492,12
100493,"28,23,18"
100494,18
100495,16
100496,15
100497,"1,5,23,8,22,10,0,34,3,9"
100498,0
100499,2
1005,"1,21,3"
10050,0
100500,35
100501,"28,43,16,31,37,1,32,19,5,4,30,26,11,23,6,8,10,35,42,20,15,0,44,34,21,12,3,2,9"
100502,23
100503,23
100504,23
100505,23
100506,23
100507,35
100508,23
100509,23
10051,0
100510,"16,5,9"
100511,9
100512,9
100513,9
100514,32
100515,15
100516,"17,12,2"
100517,9
100518,14
100519,14
10052,0
100520,0
100521,0
100522,"28,16,41,8"
100523,"16,41,18,2"
100524,"16,1,4,41,8,0,21,13,3"
100525,0
100526,"28,16,1,30,41,23,27,10,15,0,34,3"
100527,"0,3"
100528,15
100529,43
10053,"28,16,1,19,5,40,4,11,18,44,34,39,12,3,2"
100530,27
100531,"43,32"
100532,34
100533,43
100534,23
100535,8
100536,43
100537,"19,3"
100538,26
100539,12
10054,18
100540,12
100541,0
100542,2
100543,"28,43,16,1,19,30,41,26,11,17,14,10,24,15,44,33,7,34,12,13,3,2,9"
100544,2
100545,2
100546,2
100547,"0,34,12"
100548,"0,12"
100549,"28,43,16,1,32,5,41,26,11,17,14,24,20,15,44,33,34,12,13,3,2,9"
10055,"11,18,0,7"
100550,"1,41,26,11,15,0,44,33,34,12,13,3,2,9"
100551,9
100552,2
100553,2
100554,"28,16,1,19,26,11,23,17,15,0,44,34,12,13,2,9"
100555,9
100556,2
100557,2
100558,12
100559,2
10056,30
100560,"0,12"
100561,"14,2"
100562,"43,31,1,19,40,41,26,11,23,6,17,18,24,20,15,0,44,36,25,7,34,12,3,2,9"
100563,44
100564,12
100565,"41,26"
100566,26
100567,"26,20"
100568,2
100569,26
10057,1
100570,26
100571,41
100572,0
100573,0
100574,0
100575,"43,19,4,41,23,14,18,12,2"
100576,43
100577,"43,37,4,2"
100578,"16,40,10"
100579,"14,12"
10058,19
100580,12
100581,12
100582,2
100583,2
100584,"26,14,18,24,44,39,9"
100585,0
100586,2
100587,"30,41,18,44,36"
100588,36
100589,6
10059,"19,22,2"
100590,18
100591,36
100592,36
100593,36
100594,36
100595,15
100596,15
100597,41
100598,41
100599,41
1006,21
10060,16
100600,3
100601,36
100602,3
100603,36
100604,"23,14,20,44,34,21,2"
100605,0
100606,"0,12"
100607,"31,41"
100608,0
100609,0
10061,0
100610,0
100611,0
100612,0
100613,0
100614,0
100615,0
100616,"1,42,20,12,3"
100617,41
100618,"1,4,42,3,9"
100619,"1,41,20,12,3"
10062,22
100620,"12,3"
100621,"41,27,12,2"
100622,0
100623,"41,0,12"
100624,26
100625,12
100626,16
100627,"43,1,32,40,30,38,41,26,11,23,6,17,14,27,35,15,0,36,33,29,34,12,3,2,9"
100628,23
100629,23
10063,3
100630,0
100631,34
100632,"26,44,33"
100633,26
100634,2
100635,0
100636,0
100637,"4,6,27,2"
100638,0
100639,2
10064,3
100640,"41,2"
100641,"1,4,11,18,24,42,0,44,34,12,13,2,9"
100642,0
100643,"0,12"
100644,12
100645,0
100646,12
100647,"28,1,19,41,26,11,23,18,24,15,0,12,2,9"
100648,"11,12"
100649,36
10065,"1,4"
100650,"0,34,9"
100651,12
100652,2
100653,"28,43,16,31,1,32,19,40,4,30,41,26,11,23,6,17,14,18,8,24,35,42,20,15,0,44,36,33,34,21,12,13,3,2,9"
100654,18
100655,13
100656,"31,32,11,17,18,0,34,2"
100657,34
100658,"28,43,19,41,26,11,10,24,35,15,44,33,34,12,13,2,9"
100659,"28,43,16,31,37,1,32,19,5,40,4,30,41,26,11,23,6,17,14,18,8,22,27,10,24,35,42,20,15,0,44,36,33,25,7,34,39,21,12,13,3,2,9"
10066,"31,33"
100660,12
100661,0
100662,12
100663,0
100664,34
100665,"10,0"
100666,2
100667,14
100668,41
100669,"28,43,16,31,1,32,19,40,4,30,41,26,11,23,6,17,14,8,27,24,35,15,0,44,36,33,34,21,12,13,3,2"
10067,0
100670,14
100671,14
100672,2
100673,2
100674,19
100675,15
100676,11
100677,14
100678,6
100679,"43,6"
10068,0
100680,18
100681,0
100682,43
100683,2
100684,15
100685,14
100686,40
100687,"1,11,17,20,0,33,34,21,12,3,2"
100688,"42,20,0,12,3"
100689,40
10069,0
100690,12
100691,12
100692,4
100693,"20,0,12,3"
100694,"16,0,12,3,2"
100695,"28,31,1,11,17,18,20,0,21,12,3"
